k,assay,train_indiv,train_rows,train_unique,val_rows,val_unique,n_test_files,test_rows_mean,test_leaked_frac_mean,test_leaked_frac_min,test_leaked_frac_max,val_leaked_frac,train_within_dup_frac,label_conflict_seqs_in_test_mean
4,POLR2AphosphoS5,3,5310,4393,664,638,11,664.0,0.8150328587075575,0.2936746987951807,0.947289156626506,0.286144578313253,0.17269303201506592,36.63636363636363
4,POLR2AphosphoS5,4,4809,3867,601,571,11,602.0,0.8198429477499246,0.32059800664451826,0.946843853820598,0.3011647254575707,0.19588271990018716,38.18181818181818
5,ATACseq,1,3576,3016,447,433,11,447.0,0.8063860077282896,0.2639821029082774,0.9440715883668904,0.24384787472035793,0.15659955257270694,12.272727272727273
5,ATACseq,2,8545,6846,1068,1022,11,1069.0,0.8203928905519177,0.3199251637043966,0.9485500467726847,0.29775280898876405,0.19882972498537158,68.45454545454545
5,ATACseq,3,7262,5487,908,840,11,908.0,0.8368041649979978,0.38215859030837,0.9460352422907489,0.3722466960352423,0.2444230239603415,50.90909090909091
5,ATACseq,4,4307,3074,538,497,11,539.0,0.8372406813965255,0.38404452690166974,0.9461966604823747,0.3847583643122677,0.2862781518458324,18.454545454545453
5,CTCF,1,11547,6570,1443,1221,11,1444.0,0.8905187610173759,0.5872576177285319,0.961218836565097,0.5758835758835759,0.4310210444271239,170.54545454545453
5,CTCF,2,12080,6889,1510,1251,11,1510.0,0.8948223961468996,0.5927152317880795,0.9655629139072848,0.571523178807947,0.4297185430463576,170.0
5,CTCF,3,12624,6792,1578,1260,11,1578.0,0.9009102431155663,0.6330798479087453,0.967680608365019,0.6261089987325729,0.4619771863117871,202.36363636363637
5,CTCF,4,13731,7067,1716,1332,11,1717.0,0.900460634298724,0.6278392545136867,0.9644729178800233,0.6520979020979021,0.48532517660767605,217.9090909090909
5,EP300,1,1537,1408,192,190,11,193.0,0.7743758831841732,0.12435233160621761,0.9430051813471503,0.125,0.08392973324658426,4.545454545454546
5,EP300,2,124,119,16,16,11,16.0,0.7954545454545454,0.1875,1.0,0.125,0.04032258064516129,0.0
5,EP300,3,68,67,9,8,11,9.0,0.6868686868686869,0.0,1.0,0.0,0.014705882352941176,0.0
5,EP300,4,564,526,71,70,11,71.0,0.7477592829705505,0.08450704225352113,0.9436619718309859,0.14084507042253522,0.0673758865248227,0.18181818181818182
5,H3K27ac,1,8822,6007,1103,965,11,1103.0,0.8541992911893183,0.4487760652765186,0.958295557570263,0.4315503173164098,0.3190886420312854,54.36363636363637
5,H3K27ac,2,6315,4422,789,694,11,790.0,0.8394706559263522,0.38734177215189874,0.9518987341772152,0.38910012674271227,0.2997624703087886,28.90909090909091
5,H3K27ac,3,8312,5301,1039,865,11,1039.0,0.8600052498031325,0.4667949951876805,0.9547641963426372,0.4879692011549567,0.3622473532242541,48.27272727272727
5,H3K27ac,4,8876,5465,1110,911,11,1110.0,0.8755118755118755,0.5261261261261261,0.9621621621621622,0.5063063063063064,0.38429472735466425,46.90909090909091
5,H3K27me3,1,1670,1181,209,192,11,209.0,0.8460200086994345,0.4019138755980861,0.9617224880382775,0.4258373205741627,0.29281437125748505,2.8181818181818183
5,H3K27me3,2,478,450,60,58,11,60.0,0.7727272727272727,0.11666666666666667,0.95,0.06666666666666667,0.058577405857740586,0.2727272727272727
5,H3K27me3,3,502,386,63,60,11,63.0,0.8051948051948052,0.2698412698412698,0.9682539682539683,0.3333333333333333,0.23107569721115537,1.3636363636363635
5,H3K27me3,4,468,359,59,55,11,59.0,0.8351309707241911,0.3559322033898305,1.0,0.3389830508474576,0.2329059829059829,1.0909090909090908
5,H3K36me3,1,212,177,27,27,11,27.0,0.8080808080808081,0.25925925925925924,0.9629629629629629,0.2222222222222222,0.1650943396226415,0.2727272727272727
5,H3K36me3,2,166,154,21,21,11,21.0,0.7965367965367967,0.19047619047619047,1.0,0.14285714285714285,0.07228915662650602,0.0
5,H3K36me3,3,12,12,2,2,11,2.0,0.6818181818181818,0.0,1.0,0.0,0.0,0.0
5,H3K36me3,4,1190,788,149,133,11,149.0,0.8492983526540573,0.40268456375838924,0.9798657718120806,0.46308724832214765,0.3378151260504202,2.4545454545454546
5,H3K4me1,1,2632,1890,329,300,11,329.0,0.8369715390991987,0.3860182370820669,0.9635258358662614,0.3556231003039514,0.28191489361702127,2.8181818181818183
